name	rank_200407	rank_202203	count_200407	count_202203
FRIEDMAN	167.0	145.0	17.0	19.0
CHAN	2352.0	146.0	3.0	19.0
GOLDSTEIN	703.0	147.0	6.0	19.0
MANSFIELD	132.0	148.0	20.0	19.0
HILL	129.0	149.0	21.0	19.0
FARRELL	198.0	150.0	16.0	19.0
MCKENNA	93.0	151.0	24.0	19.0
PHILLIPS	84.0	152.0	26.0	19.0
CONROY	109.0	153.0	22.0	19.0
BISHOP	169.0	154.0	17.0	19.0
GOULD	297.0	155.0	12.0	19.0
CUNNINGHAM	185.0	156.0	16.0	18.0
MORRIS	90.0	157.0	25.0	18.0
MASON	614.0	158.0	7.0	18.0
MORRISON	126.0	159.0	21.0	18.0
FAHEY	135.0	160.0	20.0	18.0
HURLEY	54.0	161.0	33.0	18.0
DUNN	73.0	162.0	28.0	18.0
BUTLER	105.0	163.0	22.0	18.0
KEEFE	131.0	164.0	20.0	18.0
SIMON	302.0	165.0	12.0	18.0
CARLSON	279.0	166.0	12.0	18.0
CAHILL	378.0	167.0	10.0	18.0
COSTELLO	845.0	168.0	5.0	18.0
CASEY	64.0	169.0	31.0	18.0
FLAHERTY	106.0	170.0	22.0	18.0
PALMER	127.0	171.0	21.0	17.0
DAY	291.0	172.0	12.0	17.0
RUSSO	229.0	173.0	14.0	17.0
PACHECO	100.0	174.0	23.0	17.0
BRADLEY	94.0	175.0	24.0	17.0
ELLIS	204.0	176.0	15.0	17.0
ROSSI	183.0	177.0	16.0	17.0
CARPENTER	435.0	178.0	9.0	17.0
COLEMAN	196.0	179.0	16.0	17.0
WALLACE	189.0	180.0	16.0	17.0
FLANAGAN	227.0	181.0	14.0	17.0
COUGHLIN	214.0	182.0	15.0	17.0
BELL	324.0	183.0	11.0	17.0
EVANS	332.0	184.0	11.0	17.0
BYRNE	99.0	185.0	23.0	17.0
SOUSA	98.0	186.0	23.0	17.0
FALLON	276.0	187.0	12.0	17.0
WALKER	191.0	188.0	16.0	17.0
ALEXANDER	413.0	189.0	9.0	17.0
FOSTER	240.0	190.0	13.0	17.0
JACOBS	404.0	191.0	9.0	17.0
O'DONNELL	186.0	192.0	16.0	16.0
EDWARDS	344.0	193.0	11.0	16.0
JOHNSTON	345.0	194.0	11.0	16.0
DRISCOLL	70.0	195.0	29.0	16.0
SIEGEL	439.0	196.0	9.0	16.0
CHANG	635.0	197.0	7.0	16.0
FISCHER	300.0	198.0	12.0	16.0
PARK	5220.0	199.0	1.0	16.0
WEBER	309.0	200.0	11.0	16.0
KLEIN	421.0	201.0	9.0	16.0
CUMMINGS	102.0	202.0	23.0	16.0
HICKEY	471.0	203.0	8.0	16.0
BECK	445.0	204.0	9.0	16.0
MAGUIRE	142.0	205.0	19.0	16.0
WEST	307.0	206.0	12.0	15.0
PIGOTT	477.0	207.0	8.0	15.0
GOODWIN	326.0	208.0	11.0	15.0
CRONIN	72.0	209.0	28.0	15.0
LARSON	123.0	210.0	21.0	15.0
MEDEIROS	116.0	211.0	21.0	15.0
LEONARD	155.0	212.0	18.0	15.0
SNYDER	590.0	213.0	7.0	15.0
OUELLETTE	294.0	214.0	12.0	15.0
BALDWIN	370.0	215.0	10.0	15.0
RUBIN	262.0	216.0	13.0	15.0
BLACK	310.0	217.0	11.0	15.0
DAVIES	304.0	218.0	12.0	15.0
O'LEARY	137.0	219.0	19.0	15.0
BECKER	319.0	220.0	11.0	15.0
STONE	130.0	221.0	20.0	15.0
WAGNER	269.0	222.0	12.0	15.0
OLSEN	281.0	223.0	12.0	15.0
SAINI	2699.0	224.0	2.0	15.0
FITZPATRICK	166.0	225.0	17.0	15.0
OLSON	171.0	226.0	17.0	15.0
CORBETT	56.0	227.0	32.0	15.0
STANTON	219.0	228.0	14.0	15.0
BARNES	824.0	229.0	6.0	14.0
TURNER	225.0	230.0	14.0	14.0
CAREY	180.0	231.0	16.0	14.0
YAN	2321.0	232.0	3.0	14.0
KEATING	108.0	233.0	22.0	14.0
BARR	805.0	234.0	6.0	14.0
DALY	305.0	235.0	12.0	14.0
JORDAN	182.0	236.0	16.0	14.0
COSTA	57.0	237.0	32.0	14.0
GARDNER	156.0	238.0	18.0	14.0
RIVERA	1055.0	239.0	5.0	14.0
BROGAN	569.0	240.0	7.0	14.0
MAXWELL	457.0	241.0	8.0	14.0
SHRESTHA		242.0		14.0
STEIN	353.0	243.0	10.0	14.0
LIU	663.0	244.0	7.0	14.0
MAHER	616.0	245.0	7.0	14.0
ARNOLD	285.0	246.0	12.0	14.0
PARKER	491.0	247.0	8.0	14.0
HIGGINS	405.0	248.0	9.0	14.0
WOODS	320.0	249.0	11.0	14.0
GOLDBERG	358.0	250.0	10.0	14.0
ROCHE	221.0	251.0	14.0	14.0
NGUYEN	266.0	252.0	13.0	14.0
PESIRIDIS	287.0	253.0	12.0	13.0
LEONE	230.0	254.0	14.0	13.0
DOLAN	161.0	255.0	17.0	13.0
WARREN	407.0	256.0	9.0	13.0
ROSEN	1017.0	257.0	5.0	13.0
PETERS	149.0	258.0	18.0	13.0
CARUSO	379.0	259.0	10.0	13.0
BREEN	264.0	260.0	13.0	13.0
MYERS	532.0	261.0	8.0	13.0
LOGAN	1525.0	262.0	4.0	13.0
AHERN	195.0	263.0	16.0	13.0
CONNORS	118.0	264.0	21.0	13.0
ZIMMER	1276.0	265.0	4.0	13.0
WU	914.0	266.0	5.0	13.0
YANG	2314.0	267.0	3.0	13.0
KAPLAN	257.0	268.0	13.0	13.0
ANGELAKIS	538.0	269.0	8.0	13.0
SOLOMON	892.0	270.0	5.0	13.0
FRANCIS	428.0	271.0	9.0	13.0
TORRES	1168.0	272.0	4.0	13.0
DELANEY	694.0	273.0	6.0	13.0
DEVINE	267.0	274.0	12.0	13.0
FREEMAN	478.0	275.0	8.0	13.0
PATEL	498.0	276.0	8.0	13.0
ZAGANJORI	534.0	277.0	8.0	13.0
LEVY	497.0	278.0	8.0	13.0
TREMBLAY	202.0	279.0	15.0	13.0
FRENCH	476.0	280.0	8.0	13.0
BLOOM	364.0	281.0	10.0	13.0
LEARY	239.0	282.0	13.0	13.0
CARR	95.0	283.0	24.0	13.0
CHENG	775.0	284.0	6.0	13.0
WEISS	408.0	285.0	9.0	13.0
MCGOWAN	1514.0	286.0	4.0	13.0
POWELL	273.0	287.0	12.0	13.0
JENNINGS	272.0	288.0	12.0	13.0
JENKINS	231.0	289.0	14.0	13.0
BAILEY	192.0	290.0	16.0	13.0
TERRY	306.0	291.0	12.0	13.0
HOFFMAN	387.0	292.0	10.0	13.0
CLARKE	165.0	293.0	17.0	13.0
GRAHAM	236.0	294.0	14.0	13.0
FRASER	247.0	295.0	13.0	12.0
CANNIFF	296.0	296.0	12.0	12.0
RICE	425.0	297.0	9.0	12.0
HO	466.0	298.0	8.0	12.0
FERREIRA	224.0	299.0	14.0	12.0
RAYMOND	595.0	300.0	7.0	12.0
PAPPAS	103.0	301.0	23.0	12.0
SAUNDERS	782.0	302.0	6.0	12.0
PERKINS	382.0	303.0	10.0	12.0
O'SULLIVAN	314.0	304.0	11.0	12.0
KAUR	3356.0	305.0	2.0	12.0
SANCHEZ	1004.0	306.0	5.0	12.0
LAWRENCE	154.0	307.0	18.0	12.0
CHUNG	1136.0	308.0	4.0	12.0
GUPTA	734.0	309.0	6.0	12.0
SANDERS	514.0	310.0	8.0	12.0
SILVERMAN	907.0	311.0	5.0	12.0
CURLEY	516.0	312.0	8.0	12.0
WOLF	368.0	313.0	10.0	12.0
POTTER	215.0	314.0	15.0	12.0
SANTOS	414.0	315.0	9.0	12.0
HANLEY	343.0	316.0	11.0	12.0
MCCANN	643.0	317.0	7.0	12.0
PIERCE	365.0	318.0	10.0	12.0
GRANT	410.0	319.0	9.0	12.0
RODRIGUES	2791.0	320.0	2.0	12.0
MATTHEWS	260.0	321.0	13.0	12.0
WATSON	312.0	322.0	11.0	12.0
MEISTER	385.0	323.0	10.0	12.0
DUGGAN	128.0	324.0	21.0	12.0
CASSIDY	248.0	325.0	13.0	12.0
JAMES	349.0	326.0	11.0	12.0
O'TOOLE	1518.0	327.0	4.0	12.0
HODGES	1602.0	328.0	4.0	11.0
MCCORMICK	810.0	329.0	6.0	11.0
LANG	290.0	330.0	12.0	11.0
CURTIS	612.0	331.0	7.0	11.0
MCDONOUGH	284.0	332.0	12.0	11.0
MCCARTY	9768.0	333.0	1.0	11.0
BANKS	282.0	334.0	12.0	11.0
TOWLE	331.0	335.0	11.0	11.0
GALLO	603.0	336.0	7.0	11.0
BENOIT	455.0	337.0	8.0	11.0
DEMERS	412.0	338.0	9.0	11.0
SHARMA		339.0		11.0
GILLIS	139.0	340.0	19.0	11.0
RODRIGUEZ	1119.0	341.0	5.0	11.0
SPENCER	207.0	342.0	15.0	11.0
CHASE	634.0	343.0	7.0	11.0
ROY	342.0	344.0	11.0	11.0
SHAH	973.0	345.0	5.0	11.0
LOPEZ	1537.0	346.0	4.0	11.0
MACLEOD	2839.0	347.0	2.0	11.0
ROTH	766.0	348.0	6.0	11.0
HORGAN	338.0	349.0	11.0	11.0
ROONEY	691.0	350.0	6.0	11.0
SCANNELL	251.0	351.0	13.0	11.0
MCNALLY	865.0	352.0	5.0	11.0
BRYANT	486.0	353.0	8.0	11.0
DOWNEY	1202.0	354.0	4.0	11.0
WEINSTEIN	313.0	355.0	11.0	11.0
ROBBINS	860.0	356.0	5.0	11.0
ZIMMERMAN	1271.0	357.0	4.0	11.0
FERGUSON	252.0	358.0	13.0	11.0
BULLOCK	431.0	359.0	9.0	11.0
PRESTON	170.0	360.0	17.0	11.0
ROSENTHAL	1320.0	361.0	4.0	11.0
SACCA	241.0	362.0	13.0	11.0
KELLER	1103.0	363.0	5.0	11.0
MESSURI	637.0	364.0	7.0	11.0
STANLEY	350.0	365.0	11.0	11.0
MADDEN	205.0	366.0	15.0	11.0
BAUER	459.0	367.0	8.0	11.0
KATZ	289.0	368.0	12.0	11.0
LALLY	480.0	369.0	8.0	11.0
WHITNEY	66.0	370.0	30.0	11.0
DIXON	1426.0	371.0	4.0	11.0
DAVIDSON	220.0	372.0	14.0	11.0
MCDERMOTT	158.0	373.0	17.0	11.0
LEBLANC	490.0	374.0	8.0	11.0
KANE	335.0	375.0	11.0	11.0
CRAIG	397.0	376.0	9.0	11.0
WHALEN	411.0	377.0	9.0	11.0
CHAVES	484.0	378.0	8.0	10.0
BROSNAN	735.0	379.0	6.0	10.0
LEPORE	194.0	380.0	16.0	10.0
